,base_asset,compare_asset,label
0,AADR,DAX,0
170,FKU,FTXR,0
171,FKU,SMCP,0
172,FKU,VTWV,0
175,FNX,INDY,0
176,FNX,PSCC,0
177,FPXI,IBB,0
178,FSZ,HEWG,0
179,FSZ,IXUS,0
180,FSZ,PFI,0
181,FSZ,PIE,0
182,FSZ,VXUS,0
183,FTA,INDY,0
184,FTAG,NFTY,0
185,FTCS,PSET,0
186,FTHI,FTRI,0
187,FTHI,IGF,0
188,FTHI,KBWP,0
189,FTHI,PDBC,0
190,FTHI,PID,0
193,FTXH,NXTG,0
194,FTXH,PSCC,0
195,FTXH,PTNQ,0
196,FTXH,RTH,0
197,FTXH,SDG,0
198,FTXH,VONE,0
199,FTXH,XT,0
200,FTXR,IEUS,0
201,FTXR,INDY,0
202,FTXR,IPKW,0
169,FID,VYMI,0
168,FID,VTWV,0
167,FID,NFTY,0
166,FEX,PSCC,0
135,ESGD,VXUS,0
136,ESGE,VTWG,0
137,ESGU,PHO,0
138,EUFN,UAE,0
139,FAB,INDY,0
140,FAB,NFTY,0
142,FCEF,INDY,0
143,FCEF,PFI,0
144,FCEF,PKW,0
145,FCEF,PSCU,0
146,FCVT,SDG,0
147,FDT,FDTS,0
148,FDT,FEUZ,0
149,FEM,FEP,0
203,FTXR,IXUS,0
300,VTWO,VXUS,0
152,FEM,FTXR,0
153,FEM,PSCF,0
154,FEM,RFDI,0
155,FEM,SMCP,0
156,FEM,VTWV,0
157,FEMS,FTXR,0
158,FEMS,HEWG,0
159,FEMS,IPKW,0
160,FEMS,PIE,0
161,FEP,FTXR,0
162,FEP,SMCP,0
163,FEP,VTWV,0
164,FEUZ,RFEM,0
165,FEUZ,SMCP,0
151,FEM,FKU,0
134,ESGD,VTWO,0
204,FTXR,NFTY,0
206,FTXR,RFEU,0
251,INDY,PKW,0
252,INDY,PSCC,0
253,INDY,PSCU,0
254,INDY,PY,0
255,INDY,VTWV,0
256,INDY,VYMI,0
257,IPKW,PIE,0
258,IPKW,RFDI,0
259,ISHP,PIZ,0
260,ISHP,QYLD,0
268,IXUS,PIE,0
269,IXUS,VTWO,0
270,KBWP,LVHD,0
271,KBWP,QAT,0
272,KRMA,PHO,0
274,LVHD,QAT,0
276,NFTY,VTWV,0
277,NFTY,VYMI,0
278,NZAC,PFI,0
279,PFI,VIGI,0
280,PHO,VIGI,0
281,PHO,VTHR,0
282,PIE,SCZ,0
283,PIE,VXUS,0
284,PPH,PSCC,0
285,PSCC,VONV,0
286,PTNQ,QYLD,0
287,PTNQ,RTH,0
288,PUI,QAT,0
250,INDY,PFI,0
249,IMCV,INDY,0
241,IGF,QAT,0
240,IGF,PEY,0
207,FTXR,VXUS,0
208,FTXR,VYMI,0
209,FVC,INDY,0
210,FVC,PSCC,0
211,FVC,PY,0
212,GENY,VTWG,0
213,HEWG,IEUS,0
214,HEWG,IJT,0
215,HEWG,INDY,0
216,HEWG,IXUS,0
217,HEWG,NXTG,0
218,HEWG,NZAC,0
219,HEWG,PFI,0
220,HEWG,PHO,0
205,FTXR,PIE,0
221,HEWG,PIE,0
223,HEWG,PIZ,0
224,HEWG,PSCC,0
225,HEWG,RFEU,0
226,HEWG,SCZ,0
227,HEWG,VIGI,0
228,HEWG,VTWO,0
229,HEWG,VXUS,0
233,IEUS,PIE,0
234,IEUS,SCZ,0
235,IEUS,VTWO,0
236,IFV,RFEM,0
237,IGF,KBWP,0
238,IGF,LVHD,0
239,IGF,PDBC,0
222,HEWG,PIO,0
133,ESGD,PIE,0
150,FEM,FEUZ,0
131,ESGD,HEWG,0
41,CIL,DXJS,0
42,CIL,FTXR,0
43,CIL,IJT,0
44,CIL,INDY,0
45,CIL,NFTY,0
46,CIL,PFI,0
47,CIL,PIE,0
48,CIL,PSCU,0
49,CIL,VTWO,0
50,CIL,VTWV,0
51,CIZ,KBWD,0
52,CIZ,PSCF,0
132,ESGD,PFI,0
54,CSA,DXJS,0
55,CSA,FVC,0
56,CSA,INDY,0
57,CSA,PSCU,0
58,CSB,DGRS,0
59,CSB,DXGE,0
60,CSB,FNX,0
61,CSB,FVC,0
62,CSB,INDY,0
63,CSB,PSCU,0
64,CSF,DXGE,0
65,DAX,DGRE,0
66,DAX,FEMS,0
67,DAX,PIE,0
68,DAX,RFEM,0
69,DDIV,DXGE,0
40,CIL,DGRS,0
70,DDIV,FTA,0
39,CIL,CSF,0
37,CID,KBWD,0
1,AADR,PIE,0
2,AAXJ,VTWG,0
3,ACWI,PHO,0
4,ACWI,PSCC,0
5,ACWX,HEWG,0
6,ACWX,PIE,0
7,ACWX,VTWO,0
8,AGNG,FCVT,0
9,AGNG,PDP,0
10,AGNG,PTNQ,0
11,AGNG,QQXT,0
12,AGNG,RTH,0
13,AGNG,SDG,0
15,AIA,VTWG,0
16,ALTY,PSCF,0
17,ALTY,QAT,0
21,ASET,FTXG,0
22,ASET,FVC,0
23,ASET,INDY,0
24,ASET,IUSV,0
25,ASET,KBWP,0
26,ASET,LVHD,0
27,ASET,PKW,0
28,ASET,VONV,0
29,BJK,FGM,0
30,BJK,RFEM,0
34,CDC,PPH,0
35,CFA,PSCC,0
36,CFO,FEX,0
38,CIL,CSB,0
71,DDIV,IMCV,0
53,CSA,DXGE,0
73,DDIV,PID,0
99,DXGE,PSCC,0
100,DXGE,PSCU,0
101,DXGE,PY,0
102,DXGE,VTWV,0
103,DXJS,FAB,0
104,DXJS,FEMS,0
105,DXJS,FEP,0
72,DDIV,INDY,0
107,DXJS,FTA,0
108,DXJS,FVC,0
109,DXJS,INDY,0
110,DXJS,NFTY,0
111,DXJS,PIE,0
112,DXJS,PSCC,0
113,DXJS,PSCU,0
114,DXJS,PY,0
115,DXJS,VONV,0
116,DXJS,VTWV,0
117,DXJS,VYMI,0
118,EEMA,VTWG,0
119,EFAS,KBWD,0
120,EFAS,NFTY,0
121,EFAS,PSCF,0
122,EFAS,UAE,0
130,ESGD,FSZ,0
98,DXGE,PKW,0
97,DXGE,PIE,0
106,DXJS,FNX,0
95,DXGE,INDY,0
87,DVY,PEY,0
86,DVY,FTRI,0
85,DGRW,PPH,0
84,DGRS,INDY,0
83,DGRS,FVC,0
82,DGRS,FCEF,0
81,DGRS,DXJS,0
80,DGRS,DXGE,0
96,DXGE,NFTY,0
79,DGRE,VTWO,0
78,DGRE,SCZ,0
77,DGRE,IEUS,0
76,DGRE,HEWG,0
75,DGRE,FTXR,0
74,DGRE,ESGE,0
88,DXGE,DXJS,0
89,DXGE,FAB,0
301,VTWV,VYMI,0
94,DXGE,FVC,0
90,DXGE,FNX,0
91,DXGE,FTA,0
92,DXGE,FTXG,0
93,DXGE,FTXR,0
231,IEI,IUSB,1
123,EMB,GNMA,1
124,EMB,VMBS,1
141,FALN,PFF,1
125,EMCB,IEI,1
126,EMCB,MFLX,1
127,EMCB,SHY,1
128,EMCB,VGSH,1
129,EMCB,VMBS,1
230,HYLS,HYXF,1
248,IGSB,VGSH,1
232,IEI,VWOB,1
291,SHY,USIG,1
292,SKOR,VGSH,1
293,SLQD,VGSH,1
294,USIG,VCIT,1
295,USIG,VGSH,1
296,VCIT,VGSH,1
297,VCSH,VGSH,1
298,VGIT,VWOB,1
299,VRIG,VTIP,1
289,SHY,SKOR,1
290,SHY,SLQD,1
14,AGZD,VRIG,1
275,MBB,VMBS,1
31,BND,SHY,1
246,IGSB,ISTB,1
245,IGIB,VGSH,1
244,IGIB,USIG,1
243,IGIB,SHY,1
242,IGIB,ISTB,1
32,BND,VGSH,1
33,BSJN,FTSL,1
20,ANGL,PFF,1
261,ISTB,SLQD,1
192,FTSM,SHV,1
262,ISTB,USIG,1
264,ISTB,VCSH,1
266,IUSB,VCIT,1
267,IUSB,VGSH,1
19,ANGL,FTSL,1
18,ANGL,FALN,1
174,FMB,SLQD,1
173,FMB,HYLS,1
191,FTSL,VTIP,1
273,LMBS,SHY,1
247,IGSB,VCSH,1
263,ISTB,VCIT,1
265,IUSB,SHY,1
